ProductID;CategoryID;BrandID;Brand;ProductName;Features;Price;Weight
1000;3;10;Canon;Canon Gearsty 7900;SLR, 24MPix;635.03;1
1001;5;7;Dell;Dell Hitmen;Wifi, 13";348.49;2
1002;2;4;Apple;Apple Runska 720;silver, 15M Cam;441.59;2
1003;2;5;Philips;Philips Orbere No;3G;77.33;1
1004;2;11;JVC;JVC Crece One Box;3G, 5.5" Screen, 10M Cam;536.97;1
1005;2;7;Dell;Dell Ceteskano;8M Cam, 3G, silver;230.53;2
1006;2;8;Samsung;Samsung Ingre 150;8M Cam, white;543.78;1
1007;3;15;Casio;Casio Boxice 7000;GPS, 5xZoom;207.54;1
1008;5;16;Huawei;Huawei Iveat Men;white, bluetooth, 10";153.09;2
1009;2;10;Canon;Canon Orgear 6200;2G, white, 4.9" Screen;161.70;1
1010;5;3;LG;LG Formen Re Le;white;193.00;2
1011;2;1;Sony;Sony Dryor At Re;5" Screen, LTE, 10M Cam;529.02;2
1012;3;10;Canon;Canon Skale Re Run;2xZoom, 21MPix, SLR;40.56;1
1013;2;7;Dell;Dell Flysty 1500;4.9" Screen, white, 15M Cam;113.93;2
1014;2;4;Apple;Apple Skamen;5.1" Screen, 15M Cam, LTE;389.86;2
1015;3;8;Samsung;Samsung Cewo Orle 280;10xZoom, Searcher, 24MPix;344.92;1
1016;4;1;Sony;Sony Ating;In-Ear, black, comfort;80.24;2
1017;5;1;Sony;Sony Boxno;10", Wifi, white;145.13;2
1018;2;4;Apple;Apple Hithi;3G, white, 12M Cam;504.76;2
1019;2;1;Sony;Sony Hila Ing 360;10M Cam, 5.5" Screen, 3G;505.01;1
1020;5;8;Samsung;Samsung Staror;black, LTE;369.72;2
1021;4;5;Philips;Philips Skaone At 190;Over-Ear, 3.5", white;92.78;1
1022;3;1;Sony;Sony Starre Ce;10xZoom, GPS, SLR;314.66;2
1023;5;7;Dell;Dell Runre;white;148.42;2
1024;1;8;Samsung;Samsung Skaing Yne Or 6300;50", UltraHD;383.06;1
1025;2;8;Samsung;Samsung Nofor At 920;white, 15M Cam, 2G;402.09;1
1026;2;2;Panasonic;Panasonic Menar Stystar 930;white, 3G, 12M Cam, 4.7" Screen;403.21;1
1027;3;11;JVC;JVC Iveone;15MPix;125.63;2
1028;3;8;Samsung;Samsung Hirun;12MPix, GPS;927.30;2
1029;2;4;Apple;Apple Flyat Star Fly 8100;8M Cam, black, 4.7" Screen, 3G;191.83;1
1030;3;15;Casio;Casio Regh Run Star;21MPix, 2xZoom;572.72;1
1031;4;17;Toshiba;Toshiba Skare;Over-Ear, 3.5";89.53;2
1032;2;2;Panasonic;Panasonic Boxar Ive Fly;15M Cam, 5.1" Screen, white;593.71;1
1033;5;11;JVC;JVC Reinggear Ar;black, LTE;81.89;2
1034;2;8;Samsung;Samsung Lehit;5.1" Screen, LTE;274.11;2
1035;2;2;Panasonic;Panasonic Ynele Yne;LTE, silver;323.79;1
1036;3;1;Sony;Sony Waska Box;12MPix, Searcher, 5xZoom, SLR;474.55;2
1037;2;2;Panasonic;Panasonic Hitstar 180;8M Cam, silver, 2G;442.14;1
1038;2;2;Panasonic;Panasonic Ivemen Run Dry 3700;silver, 3G;438.39;1
1039;5;4;Apple;Apple Menyne Ce;9.7", white, LTE;357.95;2
1040;5;2;Panasonic;Panasonic Ynehit Dryhi 4300;9.7", Wifi;204.58;1
1041;2;1;Sony;Sony Arwa 930;3G, 10M Cam, white;162.18;2
1042;5;4;Apple;Apple Skagear 750;Wifi, white;269.33;1
1043;2;4;Apple;Apple Gearat;5.5" Screen, white;371.81;2
1044;5;3;LG;LG Cefor Cear 5500;LTE, 13";242.52;1
1045;2;17;Toshiba;Toshiba Orska 360;2G, 15M Cam;466.76;1
1046;1;12;BenQ;BenQ Runhitce;2xHDMI, 39";648.97;2
1047;5;8;Samsung;Samsung Iveing Hi Gh;black, 12.2", Wifi;226.80;1
1048;1;7;Dell;Dell Ware;50", 1xHDMI, UltraHD;374.97;3
1049;2;4;Apple;Apple Atno;12M Cam, 2G, silver;221.80;2
1050;2;2;Panasonic;Panasonic Ivefly;2G, white, 8M Cam;554.24;2
1051;2;8;Samsung;Samsung Hithit;5.5" Screen, 3G;337.37;2
1052;4;10;Canon;Canon Late Le Or 700;Over-Ear, bluetooth;67.36;1
1053;2;4;Apple;Apple Gearsty Ive Wa;LTE, 10M Cam;285.93;1
1054;4;8;Samsung;Samsung Lare;In-Ear, black;25.82;2
1055;4;6;Lenovo;Lenovo Lagearmen;black, bluetooth;24.35;2
1056;2;2;Panasonic;Panasonic Skarun;white, 10M Cam, 2G;378.53;2
1057;4;1;Sony;Sony Arar 890;white, 3.5";26.25;2
1058;2;7;Dell;Dell Hitfor Be Wa;silver, 3G, 4.9" Screen;115.96;1
1059;2;6;Lenovo;Lenovo Fordry 160;silver, 4.9" Screen;136.78;1
1060;1;3;LG;LG Leboxce;4xHDMI, 45", UltraHD;766.47;2
1061;4;13;Humax;Humax Hicre;bluetooth, black;28.78;2
1062;3;8;Samsung;Samsung Orla 230;15MPix;862.45;2
1063;5;8;Samsung;Samsung Forgear;bluetooth, 12.2", white;237.46;2
1064;5;2;Panasonic;Panasonic Forcre 650;bluetooth, white;376.42;1
1065;4;5;Philips;Philips Arstar Wa Gh;white, Over-Ear, 3.5";87.26;1
1066;5;5;Philips;Philips Skaonear;10", white, LTE;182.51;2
1067;2;12;BenQ;BenQ Rela 990;silver, 8M Cam, 5.5" Screen;261.53;2
1068;3;8;Samsung;Samsung Forbe Ing 7500;2xZoom, Searcher, 21MPix, SLR;721.14;1
1069;5;7;Dell;Dell Ghhit One 700;bluetooth, black;228.28;1
1070;4;8;Samsung;Samsung Iveive 650;In-Ear, white, 3.5";32.37;1
1071;2;5;Philips;Philips Wamenla;15M Cam, white;480.15;2
1072;4;7;Dell;Dell Boxre Ice Hit 6400;Over-Ear, micro;22.92;1
1073;5;16;Huawei;Huawei Atat;white, 9.7";242.50;2
1074;4;8;Samsung;Samsung Menice Be Wa 10;In-Ear, 3.5";41.66;1
1075;4;2;Panasonic;Panasonic Boxyne 160;black, In-Ear;6.35;1
1076;1;4;Apple;Apple Dryre;42", 3xHDMI;1384.39;2
1077;2;16;Huawei;Huawei Skaone;white, 4.7" Screen;167.54;2
1078;2;3;LG;LG Begear;5.5" Screen, 3G;188.62;3
1079;1;8;Samsung;Samsung Skainghi;2xHDMI, UltraHD, 37";306.26;2
1080;5;2;Panasonic;Panasonic Tewale;black, Wifi;251.95;2
